"Item_Number","Name","Year","Theme","Subtheme","Pieces","Minifigures","Image_URL","GBP_MSRP","USD_MSRP","CAD_MSRP","EUR_MSRP","Packaging","Availability"
"10241","Maersk Line Triple-E",2014,"Advanced Models","Maersk",1518,NA,"http://www.1000steine.com/brickset/images/10241-1.jpg",109.99,149.99,179.99,129.99,"Box","LEGO exclusive"
"10242","Mini Cooper MK VII",2014,"Advanced Models","Vehicles",1077,NA,"http://www.1000steine.com/brickset/images/10242-1.jpg",74.99,99.99,119.99,89.99,"Box","LEGO exclusive"
"10243","Parisian Restaurant",2014,"Advanced Models","Modular Buildings",2469,5,"http://www.1000steine.com/brickset/images/10243-1.jpg",132.99,159.99,189.99,149.99,"Box","LEGO exclusive"
"10244","Fairground Mixer",2014,"Advanced Models","Miscellaneous",1746,12,"http://www.1000steine.com/brickset/images/10244-1.jpg",119.99,149.99,179.99,129.99,"Box","LEGO exclusive"
"10521","Baby Calf",2014,"Duplo","",9,1,"http://www.1000steine.com/brickset/images/10521-1.jpg",5.99,6.99,8.99,6.99,"Box","Retail"
"10522","Farm Animals",2014,"Duplo","",12,NA,"http://www.1000steine.com/brickset/images/10522-1.jpg",8.99,9.99,12.99,9.99,"Box","Retail"
"10524","Farm Tractor",2014,"Duplo","",29,NA,"http://www.1000steine.com/brickset/images/10524-1.jpg",16.99,19.99,24.99,19.99,"Box","Retail"
"10525","Big Farm",2014,"Duplo","",121,2,"http://www.1000steine.com/brickset/images/10525-1.jpg",49.99,59.99,59.99,59.99,"Box","Retail"
"10526","Peter Pan's Visit",2014,"Duplo","Jake and the Never Land Pirates",39,NA,"http://www.1000steine.com/brickset/images/10526-1.jpg",19.99,29.99,29.99,29.99,"Box","Retail"
"10527","Ambulance",2014,"Duplo","",14,1,"http://www.1000steine.com/brickset/images/10527-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail - limited"
"10528","School Bus",2014,"Duplo","",26,NA,"http://www.1000steine.com/brickset/images/10528-1.jpg",17.99,19.99,19.99,19.99,"Box","Retail - limited"
"10529","Truck",2014,"Duplo","",16,1,"http://www.1000steine.com/brickset/images/10529-1.jpg",12.99,14.99,17.99,14.99,"Box","Retail - limited"
"10532","My First Police Set",2014,"Duplo","",39,2,"http://www.1000steine.com/brickset/images/10532-1.jpg",19.99,24.99,24.99,24.99,"Box","Retail"
"10538","Fire and Rescue Team",2014,"Duplo","Planes",30,NA,"http://www.1000steine.com/brickset/images/10538-1.jpg",25.99,29.99,29.99,29.99,"Not specified","Not specified"
"10539","Beach Racing",2014,"Duplo","Jake and the Never Land Pirates",37,NA,"http://www.1000steine.com/brickset/images/10539-1.jpg",19.99,24.99,24.99,24.99,"Box","Retail"
"10542","Sleeping Beauty's Fairy Tale",2014,"Duplo","Disney Princess",55,2,"http://www.1000steine.com/brickset/images/10542-1.jpg",29.99,34.99,39.99,34.99,"Box","Retail"
"10543","Superman Rescue",2014,"Duplo","",19,NA,"http://www.1000steine.com/brickset/images/10543-1.jpg",14.99,19.99,19.99,19.99,"Box","Retail"
"10544","The Joker Challenge",2014,"Duplo","",40,NA,"http://www.1000steine.com/brickset/images/10544-1.jpg",24.99,29.99,29.99,29.99,"Box","Retail"
"10545","Batcave Adventure",2014,"Duplo","",59,NA,"http://www.1000steine.com/brickset/images/10545-1.jpg",39.99,49.99,49.99,49.99,"Box","Retail"
"10546","My First Shop",2014,"Duplo","",39,2,"http://www.1000steine.com/brickset/images/10546-1.jpg",19.99,24.99,24.99,24.99,"Box","Retail"
"10566","Creative Picnic",2014,"Duplo","",52,NA,"http://www.1000steine.com/brickset/images/10566-1.jpg",19.99,24.99,29.99,29.99,"Tub","Retail"
"10567","Toddler Build and Boat Fun",2014,"Duplo","",18,NA,"http://www.1000steine.com/brickset/images/10567-1.jpg",17.99,19.99,19.99,19.99,"Box","Retail"
"10568","Knight Tournament",2014,"Duplo","",16,NA,"http://www.1000steine.com/brickset/images/10568-1.jpg",8.99,9.99,12.99,9.99,"Box","Retail"
"10569","Treasure Attack",2014,"Duplo","",46,NA,"http://www.1000steine.com/brickset/images/10569-1.jpg",24.99,29.99,29.99,29.99,"Box","Retail"
"10570","All-in-One Gift Set",2014,"Duplo","",30,NA,"http://www.1000steine.com/brickset/images/10570-1.jpg",14.99,14.99,17.99,17.99,"Bucket","Retail"
"10571","All-in-One-Pink-Box-of-Fun",2014,"Duplo","",65,1,"http://www.1000steine.com/brickset/images/10571-1.jpg",24.99,29.99,34.99,29.99,"Tub","Retail"
"10572","All-in-One-Box-of-Fun",2014,"Duplo","",65,1,"http://www.1000steine.com/brickset/images/10572-1.jpg",24.99,29.99,34.99,29.99,"Tub","Retail"
"10573","Creative Animals",2014,"Duplo","",25,NA,"http://www.1000steine.com/brickset/images/10573-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10574","Creative Ice Cream",2014,"Duplo","",24,NA,"http://www.1000steine.com/brickset/images/10574-1.jpg",12.99,14.99,14.99,14.99,"Box","Retail"
"10575","Creative Building Cube",2014,"Duplo","",75,NA,"http://www.1000steine.com/brickset/images/10575-1.jpg",24.99,NA,NA,24.99,"Box","Retail"
"10576","Zoo Care",2014,"Duplo","",9,1,"http://www.1000steine.com/brickset/images/10576-1.jpg",5.99,6.99,NA,NA,"Box","Retail"
"10577","Big Royal Castle",2014,"Duplo","",135,NA,"http://www.1000steine.com/brickset/images/10577-1.jpg",49.99,59.99,69.99,59.99,"Box","Retail"
"10579","Clubhouse Cafe",2014,"Duplo","",16,NA,"http://www.1000steine.com/brickset/images/10579-1.jpg",12.99,12.99,15.99,14.99,"Box","Retail"
"10580","Deluxe Box of Fun",2014,"Duplo","",95,NA,"http://www.1000steine.com/brickset/images/10580-1.jpg",34.99,49.99,59.99,44.99,"Box","Retail"
"10665","Spider-Man: Spider-Car Pursuit",2014,"Juniors","",55,2,"http://www.1000steine.com/brickset/images/10665-1.jpg",11.99,12.99,12.99,12.99,"Box","Retail"
"10666","Digger",2014,"Juniors","",75,1,"http://www.1000steine.com/brickset/images/10666-1.jpg",9.99,9.99,12.99,9.99,"Box","Retail"
"10667","Construction",2014,"Juniors","",160,1,"http://www.1000steine.com/brickset/images/10667-1.jpg",14.99,14.99,17.99,17.99,"Bucket","Retail"
"10668","The Princess Play Castle",2014,"Juniors","",150,1,"http://www.1000steine.com/brickset/images/10668-1.jpg",14.99,14.99,17.99,17.99,"Bucket","Retail"
"10669","Turtle Lair",2014,"Juniors","",107,NA,"http://www.1000steine.com/brickset/images/10669-1.jpg",17.99,19.99,24.99,19.99,"Box","Retail"
"10671","Fire Emergency",2014,"Juniors","",123,NA,"http://www.1000steine.com/brickset/images/10671-1.jpg",NA,19.99,NA,NA,"Box","Retail - limited"
"10672","Batman: Defend the Batcave",2014,"Juniors","",150,3,"http://www.1000steine.com/brickset/images/10672-1.jpg",29.99,29.99,29.99,32.99,"Box","Retail"
"10673","Race Car Rally",2014,"Juniors","",350,2,"http://www.1000steine.com/brickset/images/10673-1.jpg",24.99,29.99,34.99,29.99,"Tub","Retail"
"10674","Pony Farm",2014,"Juniors","",306,1,"http://www.1000steine.com/brickset/images/10674-1.jpg",24.99,29.99,34.99,29.99,"Tub","Retail"
"10675","Police - The Big Escape",2014,"Juniors","",146,3,"http://www.1000steine.com/brickset/images/10675-1.jpg",24.99,29.99,29.99,29.99,"Box","Retail"
"10676","Knights' Castle",2014,"Juniors","",480,NA,"http://www.1000steine.com/brickset/images/10676-1.jpg",34.99,49.99,59.99,44.99,"Box","Retail"
"10681","Creative Building Cube",2014,"Bricks and More","",600,NA,"http://www.1000steine.com/brickset/images/10681-1.jpg",24.99,NA,NA,24.99,"Box","Retail"
"21019","The Eiffel Tower",2014,"Architecture","Landmark Series",321,NA,"http://www.1000steine.com/brickset/images/21019-1.jpg",29.99,34.99,44.99,34.99,"Box","Retail"
"21020","Trevi Fountain",2014,"Architecture","Landmark series",731,NA,"http://www.1000steine.com/brickset/images/21020-1.jpg",39.99,49.99,59.99,49.99,"Box","Retail - limited"
"21104","NASA Mars Science Laboratory Curiosity Rover",2014,"Ideas","",295,NA,"http://www.1000steine.com/brickset/images/21104-1.jpg",24.99,29.99,34.99,29.99,"Box","LEGO exclusive"
"21107","Micro World - The End",2014,"Minecraft","",440,NA,"http://www.1000steine.com/brickset/images/21107-1.jpg",29.99,34.99,44.99,34.99,"Box","Retail - limited"
"21108","Ghostbusters Ecto-1",2014,"Ideas","",508,4,"http://www.1000steine.com/brickset/images/21108-1.jpg",44.99,49.99,59.99,49.99,"Box","Retail - limited"
"21110","Research Institute",2014,"Ideas","",165,NA,"http://www.1000steine.com/brickset/images/21110-1.jpg",15.99,19.99,24.99,19.99,"Box","Retail - limited"
"30068","Apple",2014,"Duplo","",6,NA,"http://www.1000steine.com/brickset/images/30068-1.jpg",NA,2.2,NA,NA,"Polybag","Retail - limited"
"30112","Emma's Flower Stand",2014,"Friends","",33,1,"http://www.1000steine.com/brickset/images/30112-1.jpg",NA,4.99,NA,NA,"Polybag","Retail - limited"
"30115","Jungle Boat",2014,"Friends","",31,1,"http://www.1000steine.com/brickset/images/30115-1.jpg",NA,4.99,NA,NA,"Polybag","Retail - limited"
"30116","Rapunzel's Market Visit",2014,"Disney Princess","Tangled",37,1,"http://www.1000steine.com/brickset/images/30116-1.jpg",NA,3.99,NA,NA,"Polybag","Promotional"
"30187","Fast Car ",2014,"Creator","",56,NA,"http://www.1000steine.com/brickset/images/30187-1.jpg",NA,3.29,NA,NA,"Polybag","Promotional"
"30227","Police Watercraft",2014,"City","Police",36,2,"http://www.1000steine.com/brickset/images/30227-1.jpg",NA,4.99,NA,NA,"Polybag","Retail - limited"
"30229","Repair Lift ",2014,"City","Traffic",40,1,"http://www.1000steine.com/brickset/images/30229-1.jpg",NA,3.49,NA,NA,"Polybag","Retail - limited"
"30244","Anakin's Jedi Interceptor",2014,"Star Wars","Mini building set",45,NA,"http://www.1000steine.com/brickset/images/30244-1.jpg",NA,4.49,NA,NA,"Polybag","Retail - limited"
"30246","Imperial Shuttle",2014,"Star Wars","Mini building set",57,NA,"http://www.1000steine.com/brickset/images/30246-1.jpg",NA,3.99,NA,NA,"Polybag","Retail - limited"
"30271","Mikey's Mini-Shellraiser",2014,"Teenage Mutant Ninja Turtles","",47,1,"http://www.1000steine.com/brickset/images/30271-1.jpg",NA,4.99,NA,NA,"Polybag","Retail - limited"
"30282","Super Secret Police Enforcer ",2014,"The LEGO Movie","",40,1,"http://www.1000steine.com/brickset/images/30282-1.jpg",NA,4.99,NA,NA,"Polybag","Retail - limited"
"30300","The Batman Tumbler",2014,"DC Comics Super Heroes","The Dark Knight Rises",57,NA,"http://www.1000steine.com/brickset/images/30300-1.jpg",NA,3.99,NA,NA,"Polybag","Retail - limited"
"31013","Red Thunder",2014,"Creator","",66,NA,"http://www.1000steine.com/brickset/images/31013-1.jpg",4.99,4.99,6.99,4.99,"Box","Retail"
"31014","Power Digger",2014,"Creator","",64,NA,"http://www.1000steine.com/brickset/images/31014-1.jpg",4.99,4.99,6.99,4.99,"Box","Retail"
"31015","Emerald Express",2014,"Creator","",56,NA,"http://www.1000steine.com/brickset/images/31015-1.jpg",4.99,4.99,6.99,4.99,"Box","Retail"
"31017","Sunset Speeder",2014,"Creator","",119,NA,"http://www.1000steine.com/brickset/images/31017-1.jpg",9.99,12.99,15.99,9.99,"Box","Retail"
"31018","Highway Cruiser",2014,"Creator","",129,NA,"http://www.1000steine.com/brickset/images/31018-1.jpg",9.99,12.99,15.99,9.99,"Box","Retail"
"31019","Forest Animals",2014,"Creator","",272,NA,"http://www.1000steine.com/brickset/images/31019-1.jpg",17.99,19.99,24.99,17.99,"Box","Retail"
"31020","Twinblade Adventures",2014,"Creator","",216,NA,"http://www.1000steine.com/brickset/images/31020-1.jpg",12.99,17.99,19.99,14.99,"Box","Retail"
"31021","Furry Creatures",2014,"Creator","",285,NA,"http://www.1000steine.com/brickset/images/31021-1.jpg",17.99,19.99,24.99,17.99,"Box","Retail"
"31022","Turbo Quad",2014,"Creator","",186,NA,"http://www.1000steine.com/brickset/images/31022-1.jpg",17.99,24.99,29.99,19.99,"Box","Retail"
"31023","Yellow Racers",2014,"Creator","",328,NA,"http://www.1000steine.com/brickset/images/31023-1.jpg",19.99,29.99,39.99,24.99,"Not specified","Not specified"
"31024","Roaring Power",2014,"Creator","",374,NA,"http://www.1000steine.com/brickset/images/31024-1.jpg",19.99,29.99,39.99,29.99,"Box","Retail"
"31025","Mountain Hut",2014,"Creator","",550,1,"http://www.1000steine.com/brickset/images/31025-1.jpg",34.99,39.99,49.99,39.99,"Box","Retail"
"31026","Bike Shop & Cafe",2014,"Creator","",1023,3,"http://www.1000steine.com/brickset/images/31026-1.jpg",64.99,89.99,109.99,69.99,"Not specified","Not specified"
"40085","LEGO Valentine",2014,"Seasonal","Valentines",127,NA,"http://www.1000steine.com/brickset/images/40085-1.jpg",8.49,9.99,11.99,9.99,"Box","LEGO exclusive"
"40086","LEGO Easter",2014,"Seasonal","Easter",106,NA,"http://www.1000steine.com/brickset/images/40086-1.jpg",8.49,9.99,11.99,9.99,"Box","LEGO exclusive"
"40094","Snowplough",2014,"Promotional","Monthly Mini Model Build",46,NA,"http://www.1000steine.com/brickset/images/40094-1.jpg",0,0,NA,0,"Polybag","LEGO exclusive"
"40095","Micro Manager",2014,"Promotional","Monthly Mini Model Build",50,NA,"http://www.1000steine.com/brickset/images/40095-1.jpg",0,0,NA,0,"Not specified","Promotional"
"40096","Spring Tree",2014,"Promotional","Monthly Mini Model Build",NA,NA,"http://www.1000steine.com/brickset/images/40096-1.jpg",0,0,NA,0,"Polybag","Promotional"
"40097","Helicopter",2014,"Promotional","Monthly Mini Model Build",NA,NA,"http://www.1000steine.com/brickset/images/40097-1.jpg",0,0,NA,0,"Polybag","Promotional"
"40098","Dragon",2014,"Promotional","Monthly Mini Model Build",NA,NA,"http://www.1000steine.com/brickset/images/40098-1.jpg",0,0,NA,0,"Polybag","Promotional"
"40108","Balloon Cart",2014,"Creator","",66,2,"http://www.1000steine.com/brickset/images/40108-1.jpg",NA,4.99,NA,NA,"Polybag","Promotional"
"40110","LEGO City Coin Bank",2014,"City","Police",122,1,"http://www.1000steine.com/brickset/images/40110-1.jpg",10.99,14.99,17.99,12.99,"Box","LEGO exclusive"
"40112","Model Catwalk",2014,"Friends","",144,NA,"http://www.1000steine.com/brickset/images/40112-1.jpg",10.99,14.99,17.99,12.99,"Box","LEGO exclusive"
"40114","Buildable Jewellery Box",2014,"Friends","",201,NA,"http://www.1000steine.com/brickset/images/40114-1.jpg",10.99,14.99,17.99,12.99,"Not specified","Not specified"
